2999,58572092,7/21/10 16:15,2010,21,CPD,940060,PARK/STAND ON BICYCLE PATH,A361702,IL,PAS,4524 S DREXEL,Chicago,IL,
3000,58572093,7/24/10 16:15,2010,21,CPD,940060,PARK/STAND ON BICYCLE PATH,2666490,IL,PAS,4532 S DREXEL,Chicago,IL,
3001,58574492,7/21/10 17:47,2010,10,CPD,940060,PARK/STAND ON BICYCLE PATH,X603597,IL,PAS,2326 S CENTRAL PARK,Chicago,IL,
3002,58560785,7/25/10 2:06,2010,23,CPD,940060,PARK/STAND ON BICYCLE PATH,2187TX,IL,TXI,3434 N HALSTED,Chicago,IL,
3003,58560790,7/25/10 8:47,2010,23,CPD,940060,PARK/STAND ON BICYCLE PATH,2518TX,IL,TXI,3203 N CLARK,Chicago,IL,
3004,58560791,7/25/10 2:48,2010,23,CPD,940060,PARK/STAND ON BICYCLE PATH,1800TX,IL,TXI,3461 N CLARK,Chicago,IL,
3005,58635629,7/22/10 9:48,2010,252,CPD,940060,PARK/STAND ON BICYCLE PATH,P403305,IL,APP,318 S CLINTON,Chicago,IL,
3006,57731094,7/26/10 15:41,2010,216,CPD,940060,PARK/STAND ON BICYCLE PATH,70586N,IL,TRK,1601 N LAKESHORE DR,Chicago,IL,
3007,56902130,7/28/10 1:50,2010,2,CPD,940060,PARK/STAND ON BICYCLE PATH,360L248,IL,TMP,5601 S KING DRIVE,Chicago,IL,
3008,58569488,7/31/10 21:30,2010,21,CPD,940060,PARK/STAND ON BICYCLE PATH,,IN,PAS,3201 S LAKESHORE DR,Chicago,IL,
3009,58572097,7/31/10 21:42,2010,21,CPD,940060,PARK/STAND ON BICYCLE PATH,K948931,IL,PAS,4554 S DREXEL,Chicago,IL,
3010,56592601,7/14/10 22:42,2010,1,CPD,940060,PARK/STAND ON BICYCLE PATH,9754469,IL,PAS,1526 S WABASH,Chicago,IL,
3011,58167304,8/1/10 11:37,2010,216,CPD,940060,PARK/STAND ON BICYCLE PATH,244447D,IL,TRK,1601 N LAKESHORE DR,Chicago,IL,
3012,58628360,8/7/10 17:20,2010,21,CPD,940060,PARK/STAND ON BICYCLE PATH,CH8448,IL,MCY,4000 S LAKE SHORE DR,Chicago,IL,
